Date,PDI
15-01-1996,5660.0
15-02-1996,5712.9
15-03-1996,5748.8
15-04-1996,5732.7
15-05-1996,5816.0
15-06-1996,5850.8
15-07-1996,5847.7
15-08-1996,5867.7
15-09-1996,5897.8
15-10-1996,5914.7
15-11-1996,5941.2
15-12-1996,5969.0
15-01-1997,5996.3
15-02-1997,6026.6
15-03-1997,6060.3
15-04-1997,6070.2
15-05-1997,6092.8
15-06-1997,6119.8
15-07-1997,6147.9
15-08-1997,6184.5
15-09-1997,6215.6
15-10-1997,6252.8
15-11-1997,6292.5
15-12-1997,6326.8
15-01-1998,6386.8
15-02-1998,6424.3
15-03-1998,6462.2
15-04-1998,6491.5
15-05-1998,6527.0
15-06-1998,6558.7
15-07-1998,6586.4
15-08-1998,6616.9
15-09-1998,6633.1
15-10-1998,6658.3
15-11-1998,6685.7
15-12-1998,6704.3
15-01-1999,6742.4
15-02-1999,6762.6
15-03-1999,6775.0
15-04-1999,6793.4
15-05-1999,6810.3
15-06-1999,6835.0
15-07-1999,6860.7
15-08-1999,6902.1
15-09-1999,6921.2
15-10-1999,6975.5
15-11-1999,7031.1
15-12-1999,7106.1
15-01-2000,7186.2
15-02-2000,7236.8
15-03-2000,7285.9
15-04-2000,7309.2
15-05-2000,7342.2
15-06-2000,7383.3
15-07-2000,7440.1
15-08-2000,7479.0
15-09-2000,7511.8
15-10-2000,7534.2
15-11-2000,7539.3
15-12-2000,7558.0
15-01-2001,7633.7
15-02-2001,7659.6
15-03-2001,7683.9
15-04-2001,7680.7
15-05-2001,7685.5
15-06-2001,7700.6
15-07-2001,7813.9
15-08-2001,7950.0
15-09-2001,7866.2
15-10-2001,7771.7
15-11-2001,7785.0
15-12-2001,7796.3
15-01-2002,7967.6
15-02-2002,7989.2
15-03-2002,8007.8
15-04-2002,8065.2
15-05-2002,8089.3
15-06-2002,8117.2
15-07-2002,8108.8
15-08-2002,8117.7
15-09-2002,8135.9
15-10-2002,8169.4
15-11-2002,8195.9
15-12-2002,8226.3
15-01-2003,8251.3
15-02-2003,8268.1
15-03-2003,8317.6
15-04-2003,8356.8
15-05-2003,8412.0
15-06-2003,8449.6
15-07-2003,8567.8
15-08-2003,8648.0
15-09-2003,8572.4
15-10-2003,8606.2
15-11-2003,8678.3
15-12-2003,8712.4
15-01-2004,8753.6
15-02-2004,8792.7
15-03-2004,8839.9
15-04-2004,8884.2
15-05-2004,8960.1
15-06-2004,8989.2
15-07-2004,9015.5
15-08-2004,9049.3
15-09-2004,9066.9
15-10-2004,9110.0
15-11-2004,9119.1
15-12-2004,9458.4
15-01-2005,9148.5
15-02-2005,9179.0
15-03-2005,9235.1
15-04-2005,9279.7
15-05-2005,9326.7
15-06-2005,9359.1
15-07-2005,9422.6
15-08-2005,9476.0
15-09-2005,9518.7
15-10-2005,9578.4
15-11-2005,9622.2
15-12-2005,9675.3
15-01-2006,9848.2
15-02-2006,9894.7
15-03-2006,9929.2
15-04-2006,9957.7
15-05-2006,9971.2
15-06-2006,10017.0
15-07-2006,10049.7
15-08-2006,10079.7
15-09-2006,10116.6
15-10-2006,10147.8
15-11-2006,10186.3
15-12-2006,10254.7
15-01-2007,10295.7
15-02-2007,10356.6
15-03-2007,10424.2
15-04-2007,10442.3
15-05-2007,10466.5
15-06-2007,10476.0
15-07-2007,10515.3
15-08-2007,10530.6
15-09-2007,10598.3
15-10-2007,10609.7
15-11-2007,10652.5
15-12-2007,10726.6
15-01-2008,10785.5
15-02-2008,10828.0
15-03-2008,10884.5
15-04-2008,10869.2
