branch,no_customer,customer,age,eduction_level,employ,address,income,debtinc,creddebt,othdebt,default
3,3017,10012,28,High school degree,7,2,44,17.7,2.99,4.8,No
3,3017,10017,64,Post-undergraduate degree,34,17,116,14.7,5.05,12,No
3,3017,10030,40,Did not complete high school,20,12,61,4.8,1.04,1.89,No
3,3017,10039,30,Did not complete high school,11,3,27,34.5,1.75,7.56,No
3,3017,10069,25,Did not complete high school,2,2,30,22.4,0.76,5.96,Yes
3,3017,10071,35,Did not complete high school,2,9,38,10.9,1.46,2.68,Yes
3,3017,10096,26,Some college,2,4,38,11.9,0.95,3.57,Yes
3,3017,10128,25,Did not complete high school,4,2,30,14.4,1.05,3.27,No
3,3017,10129,65,College degree,29,14,189,5,3.36,6.09,No
3,3017,10140,21,Some college,0,0,23,3.9,0.31,0.59,No
3,3017,10142,62,Did not complete high school,33,13,96,17.5,6.69,10.11,No
3,3017,10169,30,College degree,4,3,39,10.6,2.39,1.74,Yes
3,3017,10197,38,Post-undergraduate degree,7,7,124,19.1,9.52,14.16,No
3,3017,10200,18,High school degree,0,0,35,3.9,0.17,1.19,No
3,3017,10218,53,Did not complete high school,9,13,41,13.3,2.33,3.12,No
3,3017,10234,18,High school degree,0,0,15,7.4,0.83,0.28,Yes
3,3017,10351,18,High school degree,0,0,56,15.7,1.84,6.95,Yes
3,3017,10423,19,Did not complete high school,2,0,31,0.3,0.02,0.07,Yes
3,3017,10428,19,High school degree,0,0,26,5.8,0.59,0.92,Yes
3,3017,10449,56,High school degree,27,21,125,8.5,2.9,7.72,No
3,3017,10455,21,High school degree,1,1,40,7.6,1.52,1.52,Yes
3,3017,10474,25,Did not complete high school,8,3,37,8.3,0.95,2.12,No
3,3017,10525,47,Some college,8,10,43,6.1,0.36,2.26,No
3,3017,10564,40,College degree,17,11,103,13.3,10.41,3.29,Yes
3,3017,10567,41,High school degree,16,11,56,3.4,0.9,1.01,No
3,3017,10746,23,College degree,0,2,118,6.4,0.29,7.26,No
3,3017,10775,45,Post-undergraduate degree,1,4,58,15.4,2.37,6.57,Yes
3,3017,10776,37,Some college,15,10,65,5,1.3,1.95,No
3,3017,10797,47,High school degree,23,14,46,11.7,0.84,4.54,No
3,3017,10798,23,College degree,0,2,42,6.7,1.58,1.23,No
3,3017,10800,18,High school degree,0,0,19,5.2,0.32,0.67,Yes
3,3017,10802,19,High school degree,0,0,21,2,0.28,0.14,Yes
3,3017,10805,41,Did not complete high school,3,12,23,10.6,0.15,2.29,Yes
3,3017,10824,42,High school degree,3,12,76,5.2,0.72,3.23,Yes
3,3017,10839,29,College degree,2,3,45,3,0.67,0.68,No
3,3017,10870,24,College degree,0,2,41,8.4,0.79,2.66,No
3,3017,10884,45,Post-undergraduate degree,9,11,48,10.2,3.53,1.37,No
3,3017,10887,39,College degree,8,9,259,7.2,1.55,17.1,No
3,3017,10893,40,High school degree,15,6,46,10.6,0.82,4.06,No
3,3017,10927,21,Some college,0,0,17,17.6,1.37,1.62,Yes
3,3017,10935,55,Some college,34,16,150,9.9,0.73,14.12,No
3,3017,11045,29,High school degree,6,4,35,3.3,0.2,0.96,Yes
3,3017,11057,22,Some college,0,0,24,5.2,0.28,0.97,Yes
3,3017,11080,58,College degree,24,18,70,6.8,2.3,2.46,No
3,3017,11199,53,High school degree,14,19,67,6.1,1.06,3.02,No
3,3017,11267,31,Some college,5,7,25,6.8,0.43,1.27,No
3,3017,11288,26,Did not complete high school,4,2,23,6.9,0.17,1.42,No
3,3017,11307,23,College degree,0,0,28,19.2,1.72,3.66,Yes
3,3017,11329,25,High school degree,1,3,19,28.6,2.34,3.1,Yes
3,3017,11337,52,Some college,23,10,153,4.5,2.12,4.76,No
3,3017,11344,25,Some college,0,1,35,9.7,0.13,3.26,Yes
3,3017,11363,22,College degree,0,1,31,22.8,1.31,5.75,Yes
3,3017,11423,38,Some college,8,8,35,26.4,3.78,5.46,No
3,3017,11461,42,High school degree,16,11,49,9.7,0.56,4.2,No
3,3017,11466,52,Did not complete high school,5,18,36,9.8,1.4,2.13,No
3,3017,11472,30,Did not complete high school,2,3,18,3,0.07,0.47,Yes
3,3017,11475,59,College degree,20,16,144,3.4,2.49,2.4,No
3,3017,11512,34,Some college,5,5,44,5.6,0.74,1.72,No
3,3017,11557,33,Did not complete high school,11,6,52,9.1,0.95,3.79,Yes
3,3017,11569,26,Some college,2,3,21,8.2,0.54,1.18,No
3,3017,11628,25,Some college,2,1,26,11.9,1.24,1.86,Yes
3,3017,11652,19,High school degree,0,0,43,21.2,3.43,5.69,Yes
3,3017,11661,41,Post-undergraduate degree,7,12,47,5.2,1.64,0.81,No
3,3017,11690,36,High school degree,2,9,27,9.3,0.74,1.78,Yes
3,3017,11703,20,High school degree,0,0,21,10.2,0.55,1.59,No
3,3017,11712,35,High school degree,6,5,26,2.5,0.45,0.2,No
3,3017,11755,33,College degree,3,4,34,1.2,0.23,0.18,No
3,3017,11783,38,College degree,0,12,37,2,0.1,0.64,No
3,3017,11809,40,High school degree,6,6,36,6.6,1.58,0.8,Yes
3,3017,11852,39,High school degree,7,6,82,17.4,3.71,10.56,No
3,3017,11859,18,High school degree,0,0,12,8.2,0.15,0.83,Yes
3,3017,11860,66,Did not complete high school,40,17,149,13.1,7.79,11.73,No
3,3017,11897,43,High school degree,6,6,40,6.6,0.5,2.14,No
3,3017,11916,39,College degree,14,8,46,6.5,0.5,2.49,No
3,3017,11941,27,Some college,5,4,27,10.5,0.99,1.84,No
3,3017,11964,47,Some college,17,13,111,8.8,5.73,4.03,No
3,3017,11973,25,Did not complete high school,9,3,25,23.5,0.34,5.53,Yes
3,3017,11995,57,Some college,7,14,43,20.8,2.5,6.45,Yes
3,3017,12099,69,Did not complete high school,6,24,60,18.6,1.27,9.89,No
3,3017,12104,20,Some college,0,0,22,4.2,0.54,0.39,Yes
3,3017,12110,42,Did not complete high school,15,7,60,6.1,2.01,1.65,No
3,3017,12133,33,High school degree,12,5,70,5.7,0.83,3.16,No
3,3017,12149,41,High school degree,10,7,29,4.2,0.47,0.74,No
3,3017,12157,35,Some college,0,7,36,4.7,0.55,1.15,No
3,3017,12239,46,Some college,20,16,122,6.7,2.89,5.28,No
3,3017,12382,24,College degree,0,1,27,4.2,0.44,0.69,No
3,3017,12439,34,Some college,7,8,43,30.3,3.92,9.11,Yes
3,3017,12540,36,High school degree,7,4,41,18.9,3.18,4.57,No
3,3017,12596,19,Did not complete high school,0,0,18,15.1,0.79,1.92,Yes
3,3017,12638,29,Post-undergraduate degree,1,4,51,1.3,0.28,0.38,No
3,3017,12687,44,High school degree,7,9,59,8.4,1.77,3.19,No
3,3017,12710,19,High school degree,0,0,28,11.7,0.82,2.45,No
3,3017,12729,39,Did not complete high school,2,9,29,3.7,0.48,0.6,No
3,3017,12759,30,College degree,5,5,222,2.9,1.97,4.47,No
3,3017,12779,72,High school degree,44,13,187,9.2,4.71,12.49,No
3,3017,12841,18,High school degree,0,0,30,7,0.81,1.29,Yes
3,3017,12910,28,Some college,7,5,30,8.5,0.46,2.09,No
3,3017,12946,24,Did not complete high school,5,2,27,10,1.29,1.41,No
3,3017,13005,33,High school degree,8,4,45,12.1,0.11,5.34,No
3,3017,13013,34,College degree,11,4,132,4.7,1.51,4.69,No
13,3080,60060,46,College degree,7,16,41,2.5,0.35,0.67,No
13,3080,60063,36,High school degree,16,4,96,12.2,5.42,6.29,No
13,3080,60070,45,Did not complete high school,13,7,65,28.6,10.73,7.86,Yes
13,3080,60087,59,Did not complete high school,34,26,154,8.5,8.33,4.76,No
13,3080,60090,35,High school degree,9,1,80,12.9,4.28,6.04,Yes
13,3080,60112,62,College degree,31,22,387,15,5.4,52.65,No
13,3080,60199,29,College degree,1,4,38,4.5,0.82,0.89,Yes
13,3080,60220,56,Some college,30,14,167,1.4,0.46,1.88,No
13,3080,60229,24,High school degree,4,1,39,21.5,3.97,4.42,Yes
